GCF_000007685.1	PRJNA224116	SAMN02603847		na	267671	173	Leptospira interrogans serovar Copenhageni str. Fiocruz L1-130	strain=Fiocruz L1-130		latest	Complete Genome	Major	Full	2004/03/22	ASM768v1	Sao Paulo state (Brazil) Consortium	GCA_000007685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/685/GCF_000007685.1_ASM768v1			na
GCF_000017605.1	PRJNA224116	SAMN02603617		na	355278	172	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'	strain=Patoc 1 (Ames)		latest	Complete Genome	Major	Full	2008/02/13	ASM1760v1	Monash University	GCA_000017605.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/605/GCF_000017605.1_ASM1760v1			na
GCF_000017685.1	PRJNA224116	SAMN02603347		na	456481	172	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	strain=Patoc 1 (Paris)		latest	Complete Genome	Major	Full	2008/02/13	ASM1768v1	Institut Pasteur	GCA_000017685.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/685/GCF_000017685.1_ASM1768v1		assembly from type material	na
GCF_000092565.1	PRJNA224116	SAMN02603127		na	189518	173	Leptospira interrogans serovar Lai str. 56601	strain=56601		latest	Complete Genome	Major	Full	2010/04/06	ASM9256v1	Chinese National HGC, Shanghai	GCA_000092565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/565/GCF_000092565.1_ASM9256v1			na
GCF_000216035.1	PRJNA224116	SAMN00254366	AFMJ00000000.1	na	1001603	173	Leptospira interrogans serovar Copenhageni str. Fiocruz R154	strain=Fiocruz R154		latest	Scaffold	Major	Full	2011/06/07	CLC_glsol163	J. Craig Venter Institute	GCA_000216035.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/035/GCF_000216035.1_CLC_glsol163			na
GCF_000216055.1	PRJNA224116	SAMN00254327	AFMI00000000.1	na	1001602	173	Leptospira interrogans serovar Copenhageni str. Fiocruz LV2756C6	strain=Fiocruz LV2756C6		latest	Scaffold	Major	Full	2011/06/07	CLC_glsol105	J. Craig Venter Institute	GCA_000216055.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/055/GCF_000216055.1_CLC_glsol105			na
GCF_000216075.1	PRJNA224116	SAMN00254376	AFMH00000000.1	na	1001987	173	Leptospira interrogans serovar Copenhageni str. 2001025091	strain=2001025091		latest	Scaffold	Major	Full	2011/06/07	CLC_glsol044	J. Craig Venter Institute	GCA_000216075.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/075/GCF_000216075.1_CLC_glsol044			na
GCF_000216095.1	PRJNA224116	SAMN00254373	AFMG00000000.1	na	1001986	173	Leptospira interrogans serovar Copenhageni str. 2006007831	strain=2006007831		latest	Scaffold	Major	Full	2011/06/07	CLC_glsol040	J. Craig Venter Institute	GCA_000216095.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/095/GCF_000216095.1_CLC_glsol040			na
GCF_000216195.1	PRJNA224116	SAMN02436336	AFMB00000000.2	na	1001596	173	Leptospira interrogans serovar Djasiman str. LT1649	strain=LT1649		latest	Contig	Major	Full	2013/03/15	LintLT1649v0.2	J. Craig Venter Institute	GCA_000216195.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/195/GCF_000216195.1_LintLT1649v0.2			na
GCF_000216235.1	PRJNA224116	SAMN02436629	AFLZ00000000.2	na	1001591	173	Leptospira interrogans str. C10069	strain=C10069		latest	Contig	Major	Full	2012/10/23	gls454077v2.0	J. Craig Venter Institute	GCA_000216235.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/235/GCF_000216235.1_gls454077v2.0			na
GCF_000216255.2	PRJNA224116	SAMN02436466	AFLY00000000.2	na	1001593	28182	Leptospira noguchii str. 2006001870	strain=2006001870		latest	Contig	Major	Full	2012/11/05	gls454041v02	J. Craig Venter Institute	GCA_000216255.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/255/GCF_000216255.2_gls454041v02			na
GCF_000216275.1	PRJNA224116	SAMN02436545	AFLX00000000.2	na	1001592	28183	Leptospira santarosai str. 2000027870	strain=2000027870		latest	Contig	Major	Full	2013/03/15	gls454039v2.0	J. Craig Venter Institute	GCA_000216275.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/275/GCF_000216275.1_gls454039v2.0			na
GCF_000216315.1	PRJNA224116	SAMN02436335	AFLV00000000.2	na	1001589	28184	Leptospira weilii str. 2006001853	strain=2006001853		latest	Contig	Major	Full	2012/11/05	gls454036v02	J. Craig Venter Institute	GCA_000216315.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/315/GCF_000216315.1_gls454036v02			na
GCF_000216335.1	PRJNA224116	SAMN02436628	AFLU00000000.2	na	1001588	173	Leptospira interrogans str. 2002000621	strain=2002000621		latest	Contig	Major	Full	2012/11/02	Lint2002000621v2.0	J. Craig Venter Institute	GCA_000216335.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/335/GCF_000216335.1_Lint2002000621v2.0			na
GCF_000216355.1	PRJNA224116	SAMN02436547	AFLT00000000.2	na	1001587	173	Leptospira interrogans serovar Pomona str. Pomona	strain=Pomona		latest	Contig	Major	Full	2012/10/23	gls454014v2.0	J. Craig Venter Institute	GCA_000216355.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/355/GCF_000216355.1_gls454014v2.0			na
GCF_000216375.1	PRJNA224116	SAMN02436546	AFLS00000000.2	na	1001586	173	Leptospira interrogans serovar Bulgarica str. Mallika	strain=Mallika		latest	Contig	Major	Full	2012/08/13	LintsBulMalv1.0	J. Craig Venter Institute	GCA_000216375.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/375/GCF_000216375.1_LintsBulMalv1.0			na
GCF_000216395.1	PRJNA224116	SAMN00254372	AFLR00000000.1	na	996863	173	Leptospira interrogans serovar Copenhageni str. MMD1562	strain=MMD1562		latest	Scaffold	Major	Full	2011/06/07	CLC_glsol194	J. Craig Venter Institute	GCA_000216395.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/395/GCF_000216395.1_CLC_glsol194			na
GCF_000216415.1	PRJNA224116	SAMN00254369	AFLQ00000000.1	na	996809	173	Leptospira interrogans serovar Canicola str. HAI0024	strain=HAI0024		latest	Scaffold	Major	Full	2011/06/07	CLC_glsol192	J. Craig Venter Institute	GCA_000216415.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/415/GCF_000216415.1_CLC_glsol192			na
GCF_000216435.1	PRJNA224116	SAMN00254371	AFLP00000000.1	na	996862	173	Leptospira interrogans serovar Copenhageni str. HAI0156	strain=HAI0156		latest	Scaffold	Major	Full	2011/06/07	CLC_glsol191	J. Craig Venter Institute	GCA_000216435.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/435/GCF_000216435.1_CLC_glsol191			na
GCF_000216455.1	PRJNA224116	SAMN00254368	AFLO00000000.1	na	996808	447106	Leptospira licerasiae serovar Varillal str. MMD0835	strain=MMD0835		latest	Contig	Major	Full	2011/06/07	CLC_glsol186	J. Craig Venter Institute	GCA_000216455.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/455/GCF_000216455.1_CLC_glsol186			na
GCF_000216475.1	PRJNA224116	SAMN00254367	AFLN00000000.1	na	996861	173	Leptospira interrogans serovar Copenhageni str. R066	strain=R066		latest	Scaffold	Major	Full	2011/06/07	CLC_glsol165	J. Craig Venter Institute	GCA_000216475.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/475/GCF_000216475.1_CLC_glsol165			na
GCF_000216495.1	PRJNA224116	SAMN00254365	AFLM00000000.1	na	996860	173	Leptospira interrogans serovar Copenhageni str. Fiocruz R83	strain=Fiocruz R83		latest	Scaffold	Major	Full	2011/06/07	CLC_glsol162	J. Craig Venter Institute	GCA_000216495.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/495/GCF_000216495.1_CLC_glsol162			na
GCF_000216515.1	PRJNA224116	SAMN00254363	AFLL00000000.1	na	996859	173	Leptospira interrogans serovar Copenhageni str. Fiocruz LV3879	strain=Fiocruz LV3879		latest	Scaffold	Major	Full	2011/06/07	CLC_glsol158	J. Craig Venter Institute	GCA_000216515.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/515/GCF_000216515.1_CLC_glsol158			na
GCF_000216535.1	PRJNA224116	SAMN00254362	AFLK00000000.1	na	996858	173	Leptospira interrogans serovar Copenhageni str. Fiocruz LV3834	strain=Fiocruz LV3834		latest	Scaffold	Major	Full	2011/06/07	CLC_glsol157	J. Craig Venter Institute	GCA_000216535.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/535/GCF_000216535.1_CLC_glsol157			na
GCF_000216555.2	PRJNA224116	SAMN00254364	AFLJ00000000.1	na	996857	173	Leptospira interrogans serovar Copenhageni str. Fiocruz LV3738	strain=Fiocruz LV3738		latest	Scaffold	Minor	Full	2011/06/07	CLC_glsol156	J. Craig Venter Institute	GCA_000216555.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/555/GCF_000216555.2_CLC_glsol156			na
GCF_000216575.1	PRJNA224116	SAMN00254361	AFLI00000000.1	na	996856	173	Leptospira interrogans serovar Copenhageni str. Fiocruz LV3737	strain=Fiocruz LV3737		latest	Scaffold	Major	Full	2011/06/07	CLC_glsol155	J. Craig Venter Institute	GCA_000216575.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/216/575/GCF_000216575.1_CLC_glsol155			na
